ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,
-0.1298828,0.840332,0.6132813,-0.01025391,-0.7856445,0.6835938,9,11,6,3,10,6,5,1,-2,-3,1,11,10,-5,-4,1,-72,-72,-72,-12.75,-12.75,-12.75,6.625931,4.995626,0.2125928,3.566991,5.077298,5.187932,,,,,,,,,,
-0.2128906,0.7670898,0.5791016,-0.02929688,-0.8251953,0.6894531,-8,-10,-1,27,6,2,3,-6,0,0,1,4,-3,-4,-5,-1,-41.625,-41.625,-41.625,4,4,4,6.559268,5.060428,0.1896853,3.568053,5.062662,5.183732,,,,,,,,,,
-0.1494141,0.7460938,0.5678711,-0.08544922,-0.7709961,0.6572266,-4,-10,-14,-11,-72,-76,7,-8,-3,-3,-3,0,-4,-1,-10,-9,-10.375,-10.375,-10.375,10.75,10.75,10.75,6.550381,5.088321,0.1648614,3.581885,5.061462,5.176854,,,,,,,,,,
-0.1831055,0.871582,0.3759766,-0.09033203,-0.7700195,0.6469727,0,-1,6,1,-9,19,-2,2,0,-3,-10,-8,-6,-8,-1,-1,56.875,56.875,56.875,2.4375,2.4375,2.4375,6.586993,5.150434,0.0794936,3.587985,5.06743,5.174843,,,,,,,,,,
0.1748047,1.040039,0.5537109,-0.06103516,-0.8056641,0.6328125,-1,-13,-3,-53,-19,-1,-7,1,0,0,-6,-9,-4,-5,1,-2,51.5,51.5,51.5,1.3125,1.3125,1.3125,6.6688,5.141991,0.0293524,3.58805,5.073662,5.176629,,,,,,,,,,
0.08154297,1.055176,0.6005859,0.00390625,-0.7592773,0.6542969,-5,-4,-8,-9,27,10,-1,-4,1,-1,-3,-1,-1,0,0,-2,-18.6875,-18.6875,-18.6875,0.25,0.25,0.25,6.65941,5.124121,0.0336409,3.589798,5.074427,5.181649,,,,,,,,,,
-0.1689453,0.7583008,0.5791016,-0.02294922,-0.809082,0.652832,-1,-22,-23,-27,2,2,-5,1,1,0,0,-1,0,-5,9,8,24.5,24.5,24.5,-1.3125,-1.3125,-1.3125,6.62074,5.094416,0.07251269,3.588599,5.076832,5.186982,,,,,,,,,,
-0.1347656,0.9296875,0.5180664,-0.02392578,-0.7675781,0.6591797,-1,-3,0,1,9,3,1,-2,0,1,-1,2,-7,-34,-6,1,-1.0625,-1.0625,-1.0625,-5.9375,-5.9375,-5.9375,6.636636,5.090782,0.08273698,3.584785,5.074117,5.190661,,,,,,,,,,
-0.1367188,0.8574219,0.5322266,-0.04394531,-0.7871094,0.6733398,-3,-8,-6,-6,0,-2,3,2,-1,-1,-1,1,-3,1,5,1,-19.5625,-19.5625,-19.5625,1.8125,1.8125,1.8125,6.625587,5.089202,0.08137485,3.585954,5.070622,5.182607,,,,,,,,,,
-0.08398438,0.8452148,0.581543,-0.08544922,-0.7861328,0.637207,-2,5,4,4,-10,-2,-1,-1,-2,-1,-2,-2,0,2,-4,-3,-2.4375,-2.4375,-2.4375,7.0625,7.0625,7.0625,6.605972,5.087685,0.06595859,3.592861,5.07055,5.175284,,,,,,,,,,
-0.05859375,0.8720703,0.5600586,-0.05371094,-0.7539063,0.6328125,1,3,1,16,9,4,0,-3,-2,-2,1,1,3,-22,-1,-5,1.3125,1.3125,1.3125,-0.8125,-0.8125,-0.8125,6.605159,5.088181,0.06063762,3.595397,5.069329,5.17714,,,,,,,,,,
