ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,,,,
-0.2255859,0.8598633,0.4780273,-0.1567383,-0.8295898,0.6147461,3,5,2,7,-24,-8,-6,2,-2,-2,-1,0,6,8,-4,-4,-0.5625,-0.5625,-0.5625,0.5,0.5,0.5,6.675389,5.25282,9.172897,3.515254,5.249258,5.050538,,,,,,,,,,,,,,
-0.175293,0.9047852,0.4692383,-0.1967773,-0.7817383,0.5917969,-2,-9,-5,-81,-5,-3,0,1,-1,-1,-3,0,-3,-5,-1,-2,-1.1875,-1.1875,-1.1875,7.125,7.125,7.125,6.677603,5.253581,9.163491,3.522788,5.246427,5.042243,,,,,,,,,,,,,,
-0.1811523,0.8613281,0.4946289,-0.1674805,-0.7958984,0.5922852,2,-2,-1,2,-8,3,2,2,-3,-1,-1,1,-2,5,3,0,-5.625,-5.625,-5.625,-0.875,-0.875,-0.875,6.670664,5.25281,9.160761,3.523556,5.242931,5.039688,,,,,,,,,,,,,,
-0.1445313,0.875,0.4770508,-0.1533203,-0.8115234,0.6152344,1,-1,3,-7,-3,-3,-4,-2,-2,-2,0,-2,-4,-3,-6,-5,2.4375,2.4375,2.4375,-1.625,-1.625,-1.625,6.672416,5.249635,9.15922,3.520866,5.23904,5.037307,,,,,,,,,,,,,,
0.1098633,0.7324219,0.8198242,-0.1518555,-0.8032227,0.6245117,-3,-5,-1,7,4,-4,-19,1,-1,-3,-10,-4,-2,-9,-1,-4,-7.875,-7.875,-7.875,2.3125,2.3125,2.3125,6.673254,5.242472,9.154648,3.523902,5.236124,5.035698,,,,,,,,,,,,,,
-0.1557617,0.8652344,0.496582,-0.1518555,-0.796875,0.6079102,-3,0,1,7,-4,-1,-3,-5,-1,-5,-1,-2,-2,5,-1,-1,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,6.681201,5.24372,9.155177,3.524979,5.236019,5.032115,,,,,,,,,,,,,,
-0.1811523,0.8583984,0.4853516,-0.1586914,-0.8076172,0.6074219,-5,-2,-3,-2,-1,-1,0,-1,-2,-10,-1,-2,-2,3,4,-2,-2.3125,-2.3125,-2.3125,0.125,0.125,0.125,6.678736,5.247925,9.147619,3.524249,5.236371,5.027966,,,,,,,,,,,,,,
-0.2773438,0.8115234,0.640625,-0.1669922,-0.7910156,0.5805664,-1,1,1,-1,-1,2,0,-4,0,-3,-1,-2,-3,-7,2,0,-1.75,-1.75,-1.75,0.875,0.875,0.875,6.669425,5.26401,9.137308,3.524776,5.235845,5.02609,,,,,,,,,,,,,,
-0.25,0.7607422,0.5922852,-0.1479492,-0.8134766,0.5473633,-1,-9,-6,-5,-1,0,-1,-3,-1,-2,1,0,0,-1,-1,0,-4.6875,-4.6875,-4.6875,4,4,4,6.678128,5.258534,9.125284,3.526499,5.228953,5.039455,,,,,,,,,,,,,,
-0.1635742,0.8222656,0.4287109,-0.1118164,-0.7021484,0.515625,-2,0,-2,-1,-2,-2,-1,3,0,-1,-2,0,0,5,0,1,-12.1875,-12.1875,-12.1875,-2.0625,-2.0625,-2.0625,6.669183,5.237807,9.096062,3.531249,5.208737,5.077007,,,,,,,,,,,,,,
